tr_now,tr_next,te_now,te_next
-554.94,4586.65,,
4586.65,1480.35,,
486.83,624.76,,
624.76,-2141.99,,
-704.55,2520.3,,
2520.3,-164.76,,
-1897.42,-1287.59,,
-1287.59,-3894.08,,
-769.04,1203.05,,
1203.05,5901.31,,
1934.09,-283.43,,
-283.43,2511.02,,
-2964.89,-3398.6,,
-3398.6,-1859.93,,
-1228.42,4570.76,,
4570.76,541.65,,
1287.22,3627.8,,
3627.8,903.44,,
-2869.71,860.79,,
860.79,5062.74,,
-3221.8,-4134.3,,
-4134.3,1917.91,,
446.81,-1435.55,,
-1435.55,-118.48,,
-487.68,-572.4,,
-572.4,-2195.64,,
-479.09,-5821.56,,
-5821.56,1071.59,,
-3016.1,-5341.02,,
-5341.02,-722.71,,
672.1,1033.57,,
1033.57,-5309.9,,
-3388.66,-1381.43,,
-1381.43,1616.21,,
-2735.69,2639.45,,
2639.45,-9698.43,,
3398.88,1411.38,,
1411.38,270.09,,
-350.83,-5134.75,,
-5134.75,1201.47,,
1802.07,982.86,,
982.86,1226.74,,
3510.79,1672.71,,
1672.71,-5191.73,,
2525.25,-892.39,,
-892.39,-6674.22,,
3239.33,-1684.51,,
-1684.51,610.66,,
-564.88,1894.34,,
1894.34,-2667.47,,
-2717.23,1265.11,,
1265.11,-1703.52,,
-1844.29,2242.3,,
2242.3,7629.49,,
3173.95,1114.34,,
1114.34,-626.75,,
-572.55,318.89,,
318.89,-608.41,,
-2025.81,1417.1,,
1417.1,-3949.83,,
-6243.27,4874.93,,
4874.93,-3002.07,,
1101.13,-1606.65,,
-1606.65,-1093.7,,
-4492.97,-1832.59,,
-1832.59,-822.67,,
4084.18,3473.51,,
3473.51,-2974.51,,
3546.76,445.82,,
445.82,971.93,,
-1007.68,3988.79,,
3988.79,1024.9,,
-3467.3,-1.92,,
-1.92,-2769.88,,
647.69,1069.54,,
1069.54,2249.8,,
3235.27,-2315.1,,
-2315.1,4706.7,,
-2236.78,-4266.23,,
-4266.23,435.76,,
1689.52,-1922.71,,
-1922.71,3885.76,,
2458.0,685.98,,
685.98,-289.47,,
1519.03,1580.1,,
1580.1,502.77,,
2204.32,-373.02,,
-373.02,6131.32,,
1879.59,262.28,,
262.28,-1571.62,,
1578.64,-307.95,,
-307.95,-4152.57,,
-8990.75,1221.25,,
1221.25,-10934.67,,
-6468.18,5081.07,,
5081.07,1615.59,,
5481.9,2716.67,,
2716.67,97.33,,
1023.78,-2408.55,,
-2408.55,1348.33,,
2127.53,1722.47,,
1722.47,3540.81,,
-496.38,4218.94,,
4218.94,-32.99,,
2238.32,0.0,,
