"Tarih","Şimdi","Açılış","Yüksek","Düşük","Hac.","Fark %"
"23.12.2012","110,62","109,02","111,52","108,13","347,44K","1,51%"
"16.12.2012","108,97","108,30","110,66","107,58","697,93K","-0,16%"
"09.12.2012","109,15","107,30","110,50","107,01","592,32K","1,99%"
"02.12.2012","107,02","110,96","112,33","106,63","990,76K","-3,78%"
"25.11.2012","111,23","111,16","111,48","108,44","923,41K","-0,13%"
"18.11.2012","111,38","109,20","112,20","109,01","821,05K","2,23%"
"11.11.2012","108,95","109,59","111,12","107,38","656,84K","-0,41%"
"04.11.2012","109,40","105,55","111,64","104,76","1,14M","3,52%"
"28.10.2012","105,68","109,65","110,26","105,50","920,71K","-3,53%"
"21.10.2012","109,55","109,95","110,97","106,80","1,13M","-0,54%"
"14.10.2012","110,14","114,64","116,20","109,90","771,05K","-3,91%"
"07.10.2012","114,62","111,99","116,02","110,54","827,28K","2,32%"
"30.09.2012","112,02","112,34","113,27","107,67","1,03M","-0,33%"
"23.09.2012","112,39","111,50","113,40","108,45","993,01K","0,87%"
"16.09.2012","111,42","116,67","117,02","107,10","1,14M","-4,49%"
"09.09.2012","116,66","114,55","117,95","113,92","643,23K","2,11%"
"02.09.2012","114,25","114,70","116,65","112,34","984,91K","-0,28%"
"26.08.2012","114,57","113,80","115,50","111,50","911,74K","0,86%"
"19.08.2012","113,59","113,83","116,38","112,87","950,28K","-0,11%"
"12.08.2012","113,71","113,40","117,03","112,70","526,93K","0,67%"
"05.08.2012","112,95","108,60","113,54","107,90","796,88K","3,68%"
"29.07.2012","108,94","106,37","109,13","104,06","1,02M","2,32%"
"22.07.2012","106,47","106,90","106,94","102,10","1,06M","-0,34%"
"15.07.2012","106,83","102,76","108,18","102,07","771,59K","4,33%"
"08.07.2012","102,40","98,15","103,44","97,73","884,74K","4,29%"
"01.07.2012","98,19","97,60","102,34","95,30","1,15M","0,40%"
"24.06.2012","97,80","91,65","98,29","89,60","1,19M","7,50%"
"17.06.2012","90,98","98,04","99,50","88,49","1,43M","-6,79%"
"10.06.2012","97,61","100,24","102,21","96,33","801,82K","-1,87%"
"03.06.2012","99,47","98,43","102,45","95,63","1,10M","1,06%"
"27.05.2012","98,43","106,83","108,04","97,54","1,09M","-7,86%"
"20.05.2012","106,83","107,40","109,43","105,03","915,60K","-0,29%"
"13.05.2012","107,14","112,07","112,67","106,40","867,50K","-4,56%"
"06.05.2012","112,26","112,80","113,64","110,34","1,04M","-0,81%"
"29.04.2012","113,18","119,70","120,02","111,76","1,11M","-5,55%"
"22.04.2012","119,83","118,70","120,17","117,21","1,02M","0,90%"
"15.04.2012","118,76","121,00","121,00","116,70","1,12M","-2,52%"
"08.04.2012","121,83","122,85","122,86","119,05","635,27K","-1,30%"
"01.04.2012","123,43","122,94","125,97","121,70","860,92K","0,45%"
"25.03.2012","122,88","125,04","126,18","121,37","962,65K","-1,80%"
"18.03.2012","125,13","125,60","127,06","122,30","863,37K","-0,54%"
"11.03.2012","125,81","125,84","126,79","120,97","572,29K","-0,13%"
"04.03.2012","125,98","123,37","126,37","121,59","931,21K","1,88%"
"26.02.2012","123,65","125,25","128,40","120,50","1,07M","-1,45%"
"19.02.2012","125,47","120,00","125,55","119,21","763,55K","4,93%"
"12.02.2012","119,58","117,69","120,70","117,00","757,33K","1,94%"
"05.02.2012","117,31","114,58","118,79","113,65","1,04M","2,38%"
"29.01.2012","114,58","111,50","114,71","110,25","1,06M","2,80%"
"22.01.2012","111,46","110,04","111,99","108,91","970,27K","1,46%"
"15.01.2012","109,86","110,70","112,76","109,42","754,75K","-0,53%"
"08.01.2012","110,44","113,42","115,12","109,71","839,16K","-2,32%"
"01.01.2012","113,06","108,35","114,64","108,35","796,13K","5,29%"
"25.12.2011","107,38","108,16","109,50","106,50","361,08K","-0,54%"
"18.12.2011","107,96","103,63","108,55","102,37","638,97K","4,46%"
"11.12.2011","103,35","108,75","111,10","102,46","550,96K","-4,85%"
"04.12.2011","108,62","110,36","111,62","107,11","779,75K","-1,20%"
"27.11.2011","109,94","106,73","112,03","106,63","998,01K","3,33%"
"20.11.2011","106,40","107,46","109,45","105,65","787,24K","-1,08%"
"13.11.2011","107,56","114,63","114,83","106,97","877,35K","-5,78%"
"06.11.2011","114,16","112,41","116,48","111,26","1,04M","1,96%"
"30.10.2011","111,97","110,13","112,48","106,10","1,05M","1,87%"
"23.10.2011","109,91","109,32","112,79","108,76","1,08M","0,32%"
"16.10.2011","109,56","112,46","113,86","107,31","1,19M","-4,46%"
"09.10.2011","114,68","106,01","114,80","105,65","548,73K","8,31%"
"02.10.2011","105,88","102,00","106,64","99,11","1,05M","3,04%"
"25.09.2011","102,76","103,61","107,54","101,66","1,09M","-1,16%"
"18.09.2011","103,97","111,71","112,44","103,43","1,11M","-7,35%"
"11.09.2011","112,22","112,43","116,10","110,42","614,80K","-0,49%"
"04.09.2011","112,77","112,50","116,60","109,85","854,74K","0,39%"
"28.08.2011","112,33","110,77","115,36","110,53","897,23K","0,87%"
"21.08.2011","111,36","108,50","111,70","105,15","1,10M","2,52%"
"14.08.2011","108,62","108,10","111,74","105,06","836,44K","0,55%"
"07.08.2011","108,03","108,50","109,16","98,74","1,20M","-1,23%"
"31.07.2011","109,37","117,00","120,40","104,30","1,31M","-6,31%"
"24.07.2011","116,74","118,36","119,05","115,75","867,96K","-1,63%"
"17.07.2011","118,67","117,55","119,25","114,66","810,12K","1,20%"
"10.07.2011","117,26","118,27","119,86","114,95","599,72K","-0,90%"
"03.07.2011","118,33","111,30","119,87","110,45","849,93K","5,87%"
"26.06.2011","111,77","105,36","113,24","102,28","1,00M","6,33%"
"19.06.2011","105,12","112,96","114,48","103,62","1,36M","-7,15%"
"12.06.2011","113,21","118,46","121,47","111,05","854,53K","-4,69%"
"05.06.2011","118,78","115,96","120,07","113,80","1,06M","2,54%"
"29.05.2011","115,84","114,87","117,49","113,40","790,33K","0,70%"
"22.05.2011","115,03","112,12","115,68","108,58","941,49K","2,35%"
"15.05.2011","112,39","113,56","114,00","108,07","815,77K","-1,27%"
"08.05.2011","113,83","110,20","118,43","109,05","1,29M","4,31%"
"01.05.2011","109,13","126,10","126,54","105,15","1,38M","-13,31%"
"24.04.2011","125,89","123,99","126,66","122,71","696,71K","1,53%"
"17.04.2011","123,99","123,15","124,81","119,03","689,98K","0,44%"
"10.04.2011","123,45","126,58","127,02","120,00","668,29K","-2,53%"
"03.04.2011","126,65","119,05","126,91","118,75","836,78K","6,70%"
"27.03.2011","118,70","115,75","119,14","113,52","781,30K","2,69%"
"20.03.2011","115,59","114,75","116,40","114,15","723,75K","1,46%"
"13.03.2011","113,93","113,60","117,29","107,35","669,63K","0,08%"
"06.03.2011","113,84","116,12","118,50","112,13","991,01K","-1,84%"
"27.02.2011","115,97","112,50","117,81","111,25","956,95K","3,42%"
"20.02.2011","112,14","102,96","119,79","102,93","1,12M","9,38%"
"13.02.2011","102,52","101,13","104,52","100,73","1,01M","1,07%"
"06.02.2011","101,43","99,83","102,88","97,51","682,42K","1,60%"
"30.01.2011","99,83","99,61","103,37","98,50","897,82K","0,41%"
"23.01.2011","99,42","97,59","99,74","94,75","1,07M","1,86%"
"16.01.2011","97,60","98,33","98,75","95,43","850,10K","-1,09%"
"09.01.2011","98,68","93,80","99,20","93,60","601,76K","5,73%"
"02.01.2011","93,33","94,75","96,17","92,37","863,12K","-1,50%"
"26.12.2010","94,75","93,76","95,20","92,18","333,81K","1,05%"
"19.12.2010","93,77","91,65","94,74","91,02","443,95K","2,29%"
"12.12.2010","91,67","90,65","92,42","90,33","504,82K","1,32%"
"05.12.2010","90,48","91,46","92,86","89,86","766,89K","-1,03%"
"28.11.2010","91,42","85,50","91,85","85,41","911,68K","6,82%"
"21.11.2010","85,58","84,34","86,50","82,43","693,29K","1,47%"
"14.11.2010","84,34","86,44","87,37","82,96","833,82K","-2,32%"
"07.11.2010","86,34","88,30","89,70","85,76","836,20K","-2,01%"
"31.10.2010","88,11","83,13","88,80","82,82","865,73K","5,97%"
"24.10.2010","83,15","83,15","84,20","81,85","905,49K","0,23%"
"17.10.2010","82,96","83,05","84,50","80,75","991,87K","0,62%"
"10.10.2010","82,45","84,33","85,46","81,95","609,11K","-1,88%"
"03.10.2010","84,03","83,81","86,02","81,86","835,49K","0,33%"
"26.09.2010","83,75","79,01","83,81","77,60","837,26K","6,19%"
"19.09.2010","78,87","78,20","80,00","76,75","776,64K","0,84%"
"12.09.2010","78,21","78,23","79,90","77,25","540,43K","0,06%"
"05.09.2010","78,16","76,62","78,85","75,56","751,10K","1,94%"
"29.08.2010","76,67","76,65","77,46","74,24","759,66K","0,03%"
"22.08.2010","76,65","74,46","76,93","71,75","883,59K","3,22%"
"15.08.2010","74,26","75,12","77,69","74,00","631,03K","-1,13%"
"08.08.2010","75,11","80,49","81,38","74,67","722,62K","-6,30%"
"01.08.2010","80,16","78,11","82,86","78,10","778,07K","2,53%"
"25.07.2010","78,18","77,45","78,31","74,80","791,05K","0,94%"
"18.07.2010","77,45","75,13","78,10","74,75","734,89K","2,76%"
"11.07.2010","75,37","75,19","77,79","73,67","442,83K","-0,07%"
